Subject,Number,Course Title,Year,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,averageGPA,studentCount,courseDesc
CS,225,Data Structures,2010,Fall,"Heeren, Cinda",4,69,13,17,65,5,5,38,14,0,22,0,12,1,2.7939999999999996,265,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2010,Spring,"Earls, John C",1,12,3,4,16,2,2,9,0,0,5,0,0,0,2.9139999999999997,54,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2010,Spring,"Karahan, Ibrahim",0,10,1,2,9,1,2,12,0,0,5,0,9,0,2.229,51,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2010,Spring,"Kassa, Debessay F",0,5,0,2,7,1,0,6,0,0,0,0,4,0,2.4930000000000003,25,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2010,Spring,"Singh, Varun K",0,5,2,1,2,1,1,5,0,0,5,0,1,0,2.464,23,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2011,Fall,"Heeren, Cinda",3,101,20,19,72,16,21,34,17,0,10,0,12,1,2.9739999999999998,326,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2011,Spring,"Heeren, Cinda",0,72,35,12,49,11,9,14,5,0,18,0,7,2,3.052,234,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2012,Fall,"Heeren, Cinda",3,109,58,23,70,14,13,39,0,0,21,0,21,2,3.003,373,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2012,Spring,"Toole, John D",1,12,6,4,8,2,3,4,5,0,3,0,7,1,2.6,56,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2013,Fall,"Heeren, Cinda",5,165,61,24,61,42,23,30,13,0,21,0,14,3,3.127,462,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2013,Spring,"Heeren, Cinda",15,77,75,22,49,25,17,56,0,0,33,0,22,0,2.8510000000000004,391,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2014,Fall,"Heeren, Cinda",6,145,48,32,76,29,29,37,10,0,50,0,31,13,2.841,506,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2014,Spring,"Heeren, Cinda",5,160,44,56,74,39,32,40,12,0,42,0,24,5,2.937,533,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2015,Fall,"Heeren, Cinda",8,175,84,49,95,32,29,46,15,0,32,0,23,6,3.045,594,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2015,Spring,"Heeren, Cinda",52,145,109,64,47,26,28,23,10,14,10,0,17,4,3.2439999999999998,549,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2016,Fall,"Heeren, Cinda",26,296,87,54,73,25,30,47,0,0,35,0,28,7,3.241,708,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2016,Spring,"Heeren, Cinda",16,210,83,40,76,24,20,42,0,0,30,0,23,5,3.182,569,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2016,Spring,"Yershova, Ganna",0,17,14,5,10,6,1,6,0,0,5,0,7,1,2.8360000000000003,72,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2017,Fall,"Fagen-Ulmschnei, Wade A",235,87,54,46,57,33,28,42,17,24,23,28,30,6,3.054,710,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2017,Spring,"Heeren, Cinda",19,312,55,39,53,27,16,44,0,0,56,0,48,4,3.091,673,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2018,Fall,"Fagen-Ulmschnei, Wade A",25,408,41,45,44,22,28,22,15,6,9,11,21,9,3.417,706,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2018,Spring,"Fagen-Ulmschnei, Wade A",19,312,41,32,43,33,15,24,12,7,13,17,39,0,3.188,607,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,225,Data Structures,2019,Spring,"Zilles, Craig",23,232,34,29,25,15,12,12,11,13,10,5,37,8,3.182,466,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. "
CS,231,Computer Architecture I,2010,Fall,"Garzaran, Maria J",8,20,11,7,31,6,1,32,4,0,16,0,5,0,2.65,141,"Introduction to computer architecture, working up from the logic gate level: combinational and sequential networks; computer arithmetic; arithmetic/logic units; memory organization; control unit design. Credit is not given for both CS 231 and ECE 290. "
CS,231,Computer Architecture I,2010,Spring,"Kale, Laxmikant V",4,27,5,5,39,8,5,19,7,5,6,1,6,0,2.715,137,"Introduction to computer architecture, working up from the logic gate level: combinational and sequential networks; computer arithmetic; arithmetic/logic units; memory organization; control unit design. Credit is not given for both CS 231 and ECE 290. "
CS,231,Computer Architecture I,2011,Fall,"Garzaran, Maria J",6,53,2,7,39,4,8,41,2,0,17,0,4,2,2.8160000000000003,185,"Introduction to computer architecture, working up from the logic gate level: combinational and sequential networks; computer arithmetic; arithmetic/logic units; memory organization; control unit design. Credit is not given for both CS 231 and ECE 290. "
CS,231,Computer Architecture I,2011,Spring,"Kale, Laxmikant V",8,28,7,14,39,15,13,25,8,0,8,0,11,0,2.699,176,"Introduction to computer architecture, working up from the logic gate level: combinational and sequential networks; computer arithmetic; arithmetic/logic units; memory organization; control unit design. Credit is not given for both CS 231 and ECE 290. "
CS,232,Computer Architecture II,2010,Fall,"Kumar, Viraj",6,23,16,16,30,6,3,7,0,1,0,1,0,1,3.275,110,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2010,Spring,"Aggarwal, Arushi",7,8,3,1,6,1,1,0,1,0,0,0,0,0,3.536,28,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2010,Spring,"Cunningham, Ryan M",8,6,3,4,13,2,2,0,0,1,0,0,0,0,3.35,39,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2010,Spring,"Guzman Rivera, Abner",4,7,3,3,13,4,2,1,2,0,0,0,1,0,3.117,40,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2010,Spring,"Kumar, Viraj",6,7,3,2,14,0,4,2,0,0,0,0,0,0,3.2889999999999997,38,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2010,Spring,"Sukumar, Pritam P",8,7,2,3,12,0,3,3,0,0,1,0,0,0,3.265,39,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2011,Fall,"Zilles, Craig",8,27,7,8,37,4,8,19,3,0,8,0,3,1,2.907,133,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,232,Computer Architecture II,2011,Spring,"Kumar, Viraj",7,34,26,18,24,12,4,5,4,0,0,0,0,4,3.3539999999999996,138,"Second-level course in computer architecture. Machine-level programming, instruction sets, data representations; subroutines; input/output hardware and software; linking and loading; relation to high-level languages. Credit is not given for both CS 232 and ECE 390. (Counts for advanced hours in LAS.) "
CS,233,Computer Architecture,2014,Fall,"Zilles, Craig",8,37,15,13,57,13,6,16,4,4,13,0,11,0,2.8169999999999997,197,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2015,Fall,"Zilles, Craig",12,81,12,13,93,9,7,53,9,0,8,5,11,5,2.911,318,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2015,Spring,"Zilles, Craig",12,71,17,13,83,4,12,41,2,4,26,9,19,1,2.7089999999999996,314,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2016,Fall,"Zilles, Craig",13,142,15,14,83,7,6,43,4,2,21,2,22,2,2.997,376,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2016,Spring,"Zilles, Craig",7,64,7,5,35,6,5,24,1,1,10,2,13,1,2.8960000000000004,181,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2017,Fall,"Herman, Geoffrey L",2,144,8,8,63,7,5,38,2,0,14,0,18,2,3.083,311,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2017,Spring,"Herman, Geoffrey L",5,69,4,12,44,0,2,15,1,0,14,0,24,2,2.805,192,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2018,Fall,"Herman, Geoffrey L",13,166,11,12,57,8,4,43,3,1,18,0,13,4,3.176,353,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2018,Spring,"Herman, Geoffrey L",5,94,6,13,49,5,6,13,5,1,6,4,12,3,3.105,222,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,233,Computer Architecture,2019,Spring,"Herman, Geoffrey L",14,131,12,3,43,3,2,23,1,0,19,0,12,0,3.2030000000000003,263,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. "
CS,241,System Programming,2010,Fall,"Caccamo, Marco",10,11,12,13,13,7,5,19,6,0,18,0,13,1,2.415,128,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2010,Spring,"Kravets, Robin H",4,45,3,3,18,7,6,19,9,2,7,5,8,5,2.718,141,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2011,Fall,"Kravets, Robin H",3,18,8,7,21,3,3,20,7,5,3,3,17,0,2.356,118,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2011,Spring,"Kravets, Robin H",3,13,10,8,27,11,4,13,5,8,14,7,12,3,2.302,138,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2012,Fall,"Kravets, Robin H",3,29,6,6,25,6,4,17,5,4,24,3,21,1,2.248,154,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2012,Spring,"Fagen, Wade A",2,3,2,1,4,2,2,4,0,0,3,0,3,0,2.449,26,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2013,Fall,"Fagen, Wade A",3,24,19,14,29,16,17,9,10,0,15,0,16,1,2.5780000000000003,173,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2013,Spring,"Caccamo, Marco",6,18,16,25,30,14,8,17,23,0,8,0,21,2,2.497,188,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2014,Fall,"Angrave, Lawrence C",21,31,38,56,31,33,21,22,28,11,11,11,12,2,2.7230000000000003,328,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2014,Spring,"Caccamo, Marco",7,29,11,14,25,10,9,11,8,6,8,5,7,2,2.722,152,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2015,Fall,"Angrave, Lawrence C",14,17,13,33,16,18,7,14,8,13,7,9,4,2,2.6919999999999997,175,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2015,Spring,"Angrave, Lawrence C",18,19,31,23,23,19,9,9,11,14,5,3,9,1,2.803,194,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2016,Fall,"Angrave, Lawrence C",51,48,29,39,26,19,15,8,7,13,14,8,17,4,2.926,298,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2016,Spring,"Angrave, Lawrence C",33,30,33,32,43,43,35,14,8,21,11,4,21,2,2.707,330,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2017,Fall,"Evans, Graham C",11,24,15,21,7,23,12,12,8,7,8,10,5,3,2.679,166,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2017,Spring,"Evans, Graham C",32,31,37,26,20,34,31,28,19,23,17,13,15,1,2.5810000000000004,327,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2018,Fall,"Angrave, Lawrence C",45,39,26,21,18,10,25,17,10,10,6,0,40,2,2.66,269,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2018,Spring,"Angrave, Lawrence C",33,46,15,27,28,16,17,15,11,7,7,6,19,2,2.818,249,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,241,System Programming,2019,Spring,"Angrave, Lawrence C",56,34,28,17,38,12,17,11,13,5,9,17,9,1,2.9160000000000004,267,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. "
CS,242,Programming Studio,2010,Fall,"Woodley, Michael J",6,39,35,27,18,7,0,0,0,0,0,0,0,3,3.569,135,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2010,Spring,"Woodley, Michael J",33,37,16,8,6,1,0,0,0,0,0,0,0,0,3.822,101,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2011,Fall,"Woodley, Michael J",11,53,16,18,10,3,2,1,1,0,1,0,2,0,3.576,118,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2011,Spring,"Woodley, Michael J",3,25,26,14,18,5,1,3,0,0,3,0,0,0,3.395,98,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2012,Fall,"Woodley, Michael J",22,75,17,7,6,1,2,4,0,0,0,0,1,1,3.7560000000000002,136,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2013,Fall,"Woodley, Michael J",9,33,34,27,21,6,7,7,2,1,2,0,1,1,3.325,151,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2013,Spring,"Woodley, Michael J",18,98,16,12,8,4,2,0,1,0,0,0,2,0,3.75,161,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2014,Fall,"Woodley, Michael J",2,19,51,51,14,19,9,7,0,1,2,0,1,2,3.25,178,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2014,Spring,"Woodley, Michael J",33,75,19,18,8,3,3,8,0,4,4,0,1,1,3.557,177,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2015,Fall,"Woodley, Michael J",4,52,60,24,8,3,9,5,1,3,1,1,4,1,3.397,176,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2015,Spring,"Woodley, Michael J",10,38,42,24,14,10,4,8,3,4,1,0,4,0,3.28,162,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2016,Fall,"Woodley, Michael J",4,40,53,32,17,6,11,6,0,1,0,0,1,2,3.41,173,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2016,Spring,"Woodley, Michael J",2,39,48,26,20,10,10,8,0,2,0,0,0,2,3.366,167,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2017,Fall,"Woodley, Michael J",13,54,77,33,9,11,10,8,4,1,4,0,8,2,3.3110000000000004,234,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2017,Spring,"Woodley, Michael J",16,54,34,29,12,13,8,2,3,6,0,3,2,0,3.35,182,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2018,Fall,"Woodley, Michael J",27,49,51,31,15,10,7,6,3,3,0,2,9,0,3.3089999999999997,213,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2018,Spring,"Woodley, Michael J",19,47,39,18,13,9,12,6,3,4,3,3,6,0,3.216,182,Intensive programming lab intended to strengthen skills in programming. 
CS,242,Programming Studio,2019,Spring,"Woodley, Michael J",24,60,20,24,15,7,6,4,3,1,3,0,1,0,3.478,168,Intensive programming lab intended to strengthen skills in programming. 
CS,296,Honors Course,2012,Fall,"Heeren, Cinda",1,22,3,4,0,0,0,0,0,0,0,0,0,0,3.878,30,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2013,Fall,"Heeren, Cinda",0,22,7,0,2,0,0,1,0,0,0,0,0,0,3.803,32,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2013,Spring,"Heeren, Cinda",3,28,7,5,5,3,1,7,0,0,0,0,6,0,3.1639999999999997,65,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2014,Fall,"Angrave, Lawrence C",6,12,0,0,0,0,0,0,0,0,0,0,4,0,3.273,22,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2014,Fall,"Heeren, Cinda",5,25,2,3,4,1,0,0,0,0,0,0,4,0,3.455,44,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2014,Fall,"Zilles, Craig",3,13,0,4,10,1,0,1,2,0,0,0,1,0,3.295,35,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2014,Spring,"Heeren, Cinda",3,57,5,2,5,3,0,0,0,0,0,0,0,2,3.84,77,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2014,Spring,"Zilles, Craig",0,18,0,1,3,3,0,3,0,0,2,0,0,1,3.345,31,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2015,Fall,"Zilles, Craig",7,9,6,1,2,1,0,0,0,0,0,0,0,0,3.77,26,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2015,Spring,"Heeren, Cinda",6,38,3,2,3,1,0,0,0,0,0,0,3,0,3.667,56,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2015,Spring,"Zilles, Craig",2,14,4,1,10,0,0,4,0,0,2,0,1,0,3.2110000000000003,38,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2016,Fall,"Angrave, Lawrence C",5,22,7,3,0,0,0,0,0,0,0,0,0,0,3.883,37,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2016,Fall,"Heeren, Cinda",0,53,0,0,0,0,0,2,0,0,0,0,0,2,3.927,57,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2016,Fall,"Zilles, Craig",2,8,7,1,0,1,2,1,1,1,0,0,1,0,3.2539999999999996,25,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2016,Spring,"Angrave, Lawrence C",3,22,3,2,1,0,0,0,0,0,0,0,0,0,3.8930000000000002,31,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
CS,296,Honors Course,2016,Spring,"Heeren, Cinda",8,25,10,8,3,2,0,0,0,0,0,0,0,0,3.7439999999999998,56,Group projects for honors credit in computer science. Sections of this course are offered in conjunction with other 200-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. 
